Grey levels,Alpha,Pixel grouping,Accuracy
10,0.1,[1 1],0.6673
10,0.01,[1 1],0.6673
10,0.001,[1 1],0.6673
10,0.0001,[1 1],0.6673
10,0.1,[2 2],0.6542
10,0.01,[2 2],0.6542
10,0.001,[2 2],0.6542
10,0.0001,[2 2],0.6542
10,0.1,[2 1],0.6595
10,0.01,[2 1],0.6595
10,0.001,[2 1],0.6595
10,0.0001,[2 1],0.6595
10,0.1,[4 4],0.6407
10,0.01,[4 4],0.6407
10,0.001,[4 4],0.6407
10,0.0001,[4 4],0.6407
64,0.1,[1 1],0.6676
64,0.01,[1 1],0.6676
64,0.001,[1 1],0.6676
64,0.0001,[1 1],0.6676
64,0.1,[2 2],0.6549
64,0.01,[2 2],0.6549
64,0.001,[2 2],0.6549
64,0.0001,[2 2],0.6549
64,0.1,[2 1],0.6593
64,0.01,[2 1],0.6593
64,0.001,[2 1],0.6593
64,0.0001,[2 1],0.6593
64,0.1,[4 4],0.6412
64,0.01,[4 4],0.6412
64,0.001,[4 4],0.6412
64,0.0001,[4 4],0.6412
128,0.1,[1 1],0.6676
128,0.01,[1 1],0.6676
128,0.001,[1 1],0.6676
128,0.0001,[1 1],0.6676
128,0.1,[2 2],0.6546
128,0.01,[2 2],0.6546
128,0.001,[2 2],0.6546
128,0.0001,[2 2],0.6546
128,0.1,[2 1],0.6593
128,0.01,[2 1],0.6593
128,0.001,[2 1],0.6593
128,0.0001,[2 1],0.6593
128,0.1,[4 4],0.6411
128,0.01,[4 4],0.6411
128,0.001,[4 4],0.6411
128,0.0001,[4 4],0.6411
256,0.1,[1 1],0.6671
256,0.01,[1 1],0.6671
256,0.001,[1 1],0.6671
256,0.0001,[1 1],0.6671
256,0.1,[2 2],0.6543
256,0.01,[2 2],0.6543
256,0.001,[2 2],0.6543
256,0.0001,[2 2],0.6543
256,0.1,[2 1],0.6592
256,0.01,[2 1],0.6592
256,0.001,[2 1],0.6592
256,0.0001,[2 1],0.6592
256,0.1,[4 4],0.6411
256,0.01,[4 4],0.6411
256,0.001,[4 4],0.6411
256,0.0001,[4 4],0.6411
