max_df,min_df,filts,vectorizer,model,score
0.1,1,tok,CountVectorizer,MultinomialNB,0.8158918154498851
0.1,1,tok,CountVectorizer,BernoulliNB,0.6045607212303341
0.1,1,tok,TfidfVectorizer,MultinomialNB,0.8715750397737316
0.1,1,tok,TfidfVectorizer,BernoulliNB,0.6045607212303341
0.1,2,tok,CountVectorizer,MultinomialNB,0.8211949796712038
0.1,2,tok,CountVectorizer,BernoulliNB,0.6415944847092099
0.1,2,tok,TfidfVectorizer,MultinomialNB,0.8692770019444935
0.1,2,tok,TfidfVectorizer,BernoulliNB,0.6415944847092099
0.1,5,tok,CountVectorizer,MultinomialNB,0.8044900123740498
0.1,5,tok,CountVectorizer,BernoulliNB,0.6651935654940782
0.1,5,tok,TfidfVectorizer,MultinomialNB,0.8569913381651052
0.1,5,tok,TfidfVectorizer,BernoulliNB,0.6651935654940782
0.1,10,tok,CountVectorizer,MultinomialNB,0.7840728301219728
0.1,10,tok,CountVectorizer,BernoulliNB,0.6741205585999647
0.1,10,tok,TfidfVectorizer,MultinomialNB,0.8424076365564787
0.1,10,tok,TfidfVectorizer,BernoulliNB,0.6741205585999647
0.25,1,tok,CountVectorizer,MultinomialNB,0.7972423546049142
0.25,1,tok,CountVectorizer,BernoulliNB,0.6015555948382535
0.25,1,tok,TfidfVectorizer,MultinomialNB,0.852395262506629
0.25,1,tok,TfidfVectorizer,BernoulliNB,0.6015555948382535
0.25,2,tok,CountVectorizer,MultinomialNB,0.8111189676506982
0.25,2,tok,CountVectorizer,BernoulliNB,0.6375287254728654
0.25,2,tok,TfidfVectorizer,MultinomialNB,0.8523068764362737
0.25,2,tok,TfidfVectorizer,BernoulliNB,0.6375287254728654
0.25,5,tok,CountVectorizer,MultinomialNB,0.798302987449178
0.25,5,tok,CountVectorizer,BernoulliNB,0.6578575216545872
0.25,5,tok,TfidfVectorizer,MultinomialNB,0.842496022626834
0.25,5,tok,TfidfVectorizer,BernoulliNB,0.6578575216545872
0.25,10,tok,CountVectorizer,MultinomialNB,0.775941311649284
0.25,10,tok,CountVectorizer,BernoulliNB,0.66572388191621
0.25,10,tok,TfidfVectorizer,MultinomialNB,0.830298744917801
0.25,10,tok,TfidfVectorizer,BernoulliNB,0.66572388191621
0.3,1,tok,CountVectorizer,MultinomialNB,0.7878734311472512
0.3,1,tok,CountVectorizer,BernoulliNB,0.6018207530493195
0.3,1,tok,TfidfVectorizer,MultinomialNB,0.8445289022450062
0.3,1,tok,TfidfVectorizer,BernoulliNB,0.6018207530493195
0.3,2,tok,CountVectorizer,MultinomialNB,0.8068764362736432
0.3,2,tok,CountVectorizer,BernoulliNB,0.635142301573272
0.3,2,tok,TfidfVectorizer,MultinomialNB,0.8441753579635849
0.3,2,tok,TfidfVectorizer,BernoulliNB,0.635142301573272
0.3,5,tok,CountVectorizer,MultinomialNB,0.794060456072123
0.3,5,tok,CountVectorizer,BernoulliNB,0.6555594838253491
0.3,5,tok,TfidfVectorizer,MultinomialNB,0.8369277001944494
0.3,5,tok,TfidfVectorizer,BernoulliNB,0.6555594838253491
0.3,10,tok,CountVectorizer,MultinomialNB,0.7716103942018738
0.3,10,tok,CountVectorizer,BernoulliNB,0.664309704790525
0.3,10,tok,TfidfVectorizer,MultinomialNB,0.8262329856814566
0.3,10,tok,TfidfVectorizer,BernoulliNB,0.664309704790525
0.5,1,tok,CountVectorizer,MultinomialNB,0.7707265334983207
0.5,1,tok,CountVectorizer,BernoulliNB,0.5988156266572389
0.5,1,tok,TfidfVectorizer,MultinomialNB,0.8294148842142478
0.5,1,tok,TfidfVectorizer,BernoulliNB,0.5988156266572389
0.5,2,tok,CountVectorizer,MultinomialNB,0.7996287785045076
0.5,2,tok,CountVectorizer,BernoulliNB,0.633993282658653
0.5,2,tok,TfidfVectorizer,MultinomialNB,0.8319780802545519
0.5,2,tok,TfidfVectorizer,BernoulliNB,0.633993282658653
0.5,5,tok,CountVectorizer,MultinomialNB,0.7885805197100937
0.5,5,tok,CountVectorizer,BernoulliNB,0.6520240410111366
0.5,5,tok,TfidfVectorizer,MultinomialNB,0.8277355488774969
0.5,5,tok,TfidfVectorizer,BernoulliNB,0.6520240410111366
0.5,10,tok,CountVectorizer,MultinomialNB,0.7694891285133463
0.5,10,tok,CountVectorizer,BernoulliNB,0.6590065405692063
0.5,10,tok,TfidfVectorizer,MultinomialNB,0.8181898532791232
0.5,10,tok,TfidfVectorizer,BernoulliNB,0.6590065405692063
0.75,1,tok,CountVectorizer,MultinomialNB,0.7516351423015732
0.75,1,tok,CountVectorizer,BernoulliNB,0.5990807848683047
0.75,1,tok,TfidfVectorizer,MultinomialNB,0.8159802015202404
0.75,1,tok,TfidfVectorizer,BernoulliNB,0.5990807848683047
0.75,2,tok,CountVectorizer,MultinomialNB,0.7943256142831889
0.75,2,tok,CountVectorizer,BernoulliNB,0.6340816687290083
0.75,2,tok,TfidfVectorizer,MultinomialNB,0.8184550114901892
0.75,2,tok,TfidfVectorizer,BernoulliNB,0.6340816687290083
0.75,5,tok,CountVectorizer,MultinomialNB,0.784426374403394
0.75,5,tok,CountVectorizer,BernoulliNB,0.6502563196040304
0.75,5,tok,TfidfVectorizer,MultinomialNB,0.8183666254198338
0.75,5,tok,TfidfVectorizer,BernoulliNB,0.6502563196040304
0.75,10,tok,CountVectorizer,MultinomialNB,0.7663956160509103
0.75,10,tok,CountVectorizer,BernoulliNB,0.6574155913028107
0.75,10,tok,TfidfVectorizer,MultinomialNB,0.8111189676506982
0.75,10,tok,TfidfVectorizer,BernoulliNB,0.6574155913028107
0.8,1,tok,CountVectorizer,MultinomialNB,0.7516351423015732
0.8,1,tok,CountVectorizer,BernoulliNB,0.5990807848683047
0.8,1,tok,TfidfVectorizer,MultinomialNB,0.8159802015202404
0.8,1,tok,TfidfVectorizer,BernoulliNB,0.5990807848683047
0.8,2,tok,CountVectorizer,MultinomialNB,0.7943256142831889
0.8,2,tok,CountVectorizer,BernoulliNB,0.6340816687290083
0.8,2,tok,TfidfVectorizer,MultinomialNB,0.8184550114901892
0.8,2,tok,TfidfVectorizer,BernoulliNB,0.6340816687290083
0.8,5,tok,CountVectorizer,MultinomialNB,0.784426374403394
0.8,5,tok,CountVectorizer,BernoulliNB,0.6502563196040304
0.8,5,tok,TfidfVectorizer,MultinomialNB,0.8183666254198338
0.8,5,tok,TfidfVectorizer,BernoulliNB,0.6502563196040304
0.8,10,tok,CountVectorizer,MultinomialNB,0.7663956160509103
0.8,10,tok,CountVectorizer,BernoulliNB,0.6574155913028107
0.8,10,tok,TfidfVectorizer,MultinomialNB,0.8111189676506982
0.8,10,tok,TfidfVectorizer,BernoulliNB,0.6574155913028107
0.95,1,tok,CountVectorizer,MultinomialNB,0.7451829591656355
0.95,1,tok,CountVectorizer,BernoulliNB,0.5982853102351069
0.95,1,tok,TfidfVectorizer,MultinomialNB,0.8115608980024748
0.95,1,tok,TfidfVectorizer,BernoulliNB,0.5982853102351069
0.95,2,tok,CountVectorizer,MultinomialNB,0.7928230510871487
0.95,2,tok,CountVectorizer,BernoulliNB,0.6337281244475871
0.95,2,tok,TfidfVectorizer,MultinomialNB,0.8160685875905958
0.95,2,tok,TfidfVectorizer,BernoulliNB,0.6337281244475871
0.95,5,tok,CountVectorizer,MultinomialNB,0.7843379883330387
0.95,5,tok,CountVectorizer,BernoulliNB,0.6504330917447411
0.95,5,tok,TfidfVectorizer,MultinomialNB,0.8158034293795298
0.95,5,tok,TfidfVectorizer,BernoulliNB,0.6504330917447411
0.95,10,tok,CountVectorizer,MultinomialNB,0.7660420717694891
0.95,10,tok,CountVectorizer,BernoulliNB,0.6567968888103235
0.95,10,tok,TfidfVectorizer,MultinomialNB,0.8087325437511048
0.95,10,tok,TfidfVectorizer,BernoulliNB,0.6567968888103235
0.1,1,tok lem stem,CountVectorizer,MultinomialNB,0.7916740321725296
0.1,1,tok lem stem,CountVectorizer,BernoulliNB,0.6004949619939898
0.1,1,tok lem stem,TfidfVectorizer,MultinomialNB,0.8531023510694714
0.1,1,tok lem stem,TfidfVectorizer,BernoulliNB,0.6004949619939898
0.1,2,tok lem stem,CountVectorizer,MultinomialNB,0.8002474809969948
0.1,2,tok lem stem,CountVectorizer,BernoulliNB,0.6380590418949974
0.1,2,tok lem stem,TfidfVectorizer,MultinomialNB,0.8479759589888634
0.1,2,tok lem stem,TfidfVectorizer,BernoulliNB,0.6380590418949974
0.1,5,tok lem stem,CountVectorizer,MultinomialNB,0.7862824818808556
