max_df,min_df,filts,vectorizer,model,score
0.5,1,tok,CountVectorizer,MultinomialNB,0.9381297507512816
0.5,1,tok,CountVectorizer,BernoulliNB,0.7888456779211597
0.5,1,tok,TfidfVectorizer,MultinomialNB,0.94475870602793
0.5,1,tok,TfidfVectorizer,BernoulliNB,0.7888456779211597
0.5,1,tok lem stem,CountVectorizer,MultinomialNB,0.9291143715750397
0.5,1,tok lem stem,CountVectorizer,BernoulliNB,0.794060456072123
0.5,1,tok lem stem,TfidfVectorizer,MultinomialNB,0.9389252253844794
0.5,1,tok lem stem,TfidfVectorizer,BernoulliNB,0.794060456072123
0.5,1,tok stop,CountVectorizer,MultinomialNB,0.9452006363797065
0.5,1,tok stop,CountVectorizer,BernoulliNB,0.8046667845147605
0.5,1,tok stop,TfidfVectorizer,MultinomialNB,0.9548347180484356
0.5,1,tok stop,TfidfVectorizer,BernoulliNB,0.8046667845147605
0.5,1,tok lem stop stem,CountVectorizer,MultinomialNB,0.9345943079370691
0.5,1,tok lem stop stem,CountVectorizer,BernoulliNB,0.8068764362736432
0.5,1,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.9459961110129044
0.5,1,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.8068764362736432
0.5,1,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.9558953508926993
0.5,1,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.8273820045960757
0.5,1,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.9374226621884391
0.5,1,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.8273820045960757
0.5,11,tok,CountVectorizer,MultinomialNB,0.9068410818455012
0.5,11,tok,CountVectorizer,BernoulliNB,0.8417889340639915
0.5,11,tok,TfidfVectorizer,MultinomialNB,0.9319427258264098
0.5,11,tok,TfidfVectorizer,BernoulliNB,0.8417889340639915
0.5,11,tok lem stem,CountVectorizer,MultinomialNB,0.901979847975959
0.5,11,tok lem stem,CountVectorizer,BernoulliNB,0.8381651051794238
0.5,11,tok lem stem,TfidfVectorizer,MultinomialNB,0.9261092451829591
0.5,11,tok lem stem,TfidfVectorizer,BernoulliNB,0.8381651051794238
0.5,11,tok stop,CountVectorizer,MultinomialNB,0.9100229803782924
0.5,11,tok stop,CountVectorizer,BernoulliNB,0.8584939013611455
0.5,11,tok stop,TfidfVectorizer,MultinomialNB,0.936538801484886
0.5,11,tok stop,TfidfVectorizer,BernoulliNB,0.8584939013611455
0.5,11,tok lem stop stem,CountVectorizer,MultinomialNB,0.9047198161569736
0.5,11,tok lem stop stem,CountVectorizer,BernoulliNB,0.8531907371398267
0.5,11,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.9306169347710801
0.5,11,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.8531907371398267
0.5,11,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.9269931058865123
0.5,11,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.8293264981438925
0.5,11,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.9224854162983914
0.5,11,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.8293264981438925
0.5,57,tok,CountVectorizer,MultinomialNB,0.8886335513523069
0.5,57,tok,CountVectorizer,BernoulliNB,0.7825702669259325
0.5,57,tok,TfidfVectorizer,MultinomialNB,0.8919038359554534
0.5,57,tok,TfidfVectorizer,BernoulliNB,0.7825702669259325
0.5,57,tok lem stem,CountVectorizer,MultinomialNB,0.8542513699840905
0.5,57,tok lem stem,CountVectorizer,BernoulliNB,0.7854870072476577
0.5,57,tok lem stem,TfidfVectorizer,MultinomialNB,0.8933180130811385
0.5,57,tok lem stem,TfidfVectorizer,BernoulliNB,0.7854870072476577
0.5,57,tok stop,CountVectorizer,MultinomialNB,0.893494785221849
0.5,57,tok stop,CountVectorizer,BernoulliNB,0.8114725119321194
0.5,57,tok stop,TfidfVectorizer,MultinomialNB,0.8974721583878381
0.5,57,tok stop,TfidfVectorizer,BernoulliNB,0.8114725119321194
0.5,57,tok lem stop stem,CountVectorizer,MultinomialNB,0.8575216545872371
0.5,57,tok lem stop stem,CountVectorizer,BernoulliNB,0.8068764362736432
0.5,57,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.8954392787696659
0.5,57,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.8068764362736432
0.5,57,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.881297507512816
0.5,57,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.7730245713275588
0.5,57,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.8867774438748454
0.5,57,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.7730245713275588
0.5,113,tok,CountVectorizer,MultinomialNB,0.839667668375464
0.5,113,tok,CountVectorizer,BernoulliNB,0.7271522008131518
0.5,113,tok,TfidfVectorizer,MultinomialNB,0.8641506098638855
0.5,113,tok,TfidfVectorizer,BernoulliNB,0.7271522008131518
0.5,113,tok lem stem,CountVectorizer,MultinomialNB,0.8484178893406399
0.5,113,tok lem stem,CountVectorizer,BernoulliNB,0.73227859289376
0.5,113,tok lem stem,TfidfVectorizer,MultinomialNB,0.8672441223263214
0.5,113,tok lem stem,TfidfVectorizer,BernoulliNB,0.73227859289376
0.5,113,tok stop,CountVectorizer,MultinomialNB,0.8457663072299806
0.5,113,tok stop,CountVectorizer,BernoulliNB,0.7622414707442107
0.5,113,tok stop,TfidfVectorizer,MultinomialNB,0.8663602616227682
0.5,113,tok stop,TfidfVectorizer,BernoulliNB,0.7622414707442107
0.5,113,tok lem stop stem,CountVectorizer,MultinomialNB,0.8529255789287609
0.5,113,tok lem stop stem,CountVectorizer,BernoulliNB,0.7590595722114195
0.5,113,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.8709563372812444
0.5,113,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.7590595722114195
0.5,113,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.8432914972600318
0.5,113,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.7251193211949797
0.5,113,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.8569913381651052
0.5,113,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.7251193211949797
0.5,566,tok,CountVectorizer,MultinomialNB,0.5117553473572565
0.5,566,tok,CountVectorizer,BernoulliNB,0.4123210182075305
0.5,566,tok,TfidfVectorizer,MultinomialNB,0.5694714512992752
0.5,566,tok,TfidfVectorizer,BernoulliNB,0.4123210182075305
0.5,566,tok lem stem,CountVectorizer,MultinomialNB,0.5932473042248542
0.5,566,tok lem stem,CountVectorizer,BernoulliNB,0.47215838783807673
0.5,566,tok lem stem,TfidfVectorizer,MultinomialNB,0.6430970479052501
0.5,566,tok lem stem,TfidfVectorizer,BernoulliNB,0.47215838783807673
0.5,566,tok stop,CountVectorizer,MultinomialNB,0.5083082906133993
0.5,566,tok stop,CountVectorizer,BernoulliNB,0.4371575039773732
0.5,566,tok stop,TfidfVectorizer,MultinomialNB,0.5548877496906488
